Date,Time,Player,TimeOfDay
2017-09-25,2:42,SPK,NA
2017-09-26,0:53,SPK,NA
2017-09-27,3:32,SPK,NA
2017-10-02,1:59,SPK,NA
2017-10-03,0:35,SPK,NA
2017-10-07,2:53,SPK,NA
2017-10-13,3:56,SPK,NA
2017-10-16,1:01,SPK,NA
2017-10-17,1:06,SPK,NA
2017-10-18,7:35,SPK,NA
2017-10-19,2:30,SPK,NA
2017-10-20,1:00,SPK,NA
2017-10-25,1:32,SPK,NA
2017-10-27,0:55,SPK,NA
2017-10-30,2:37,SPK,NA
2017-10-31,3:30,SPK,NA
2017-11-01,1:26,SPK,NA
2017-11-02,2:50,SPK,NA
2017-11-03,1:26,SPK,NA
2017-11-06,3:24,SPK,NA
2017-11-08,5.43,SPK,NA
2017-11-09,1:24,SPK,NA
2017-11-10,0:41,SPK,NA
2017-11-13,1:09,SPK,NA
2017-11-15,3:14,SPK,NA
2017-11-16,1:18,SPK,NA
2017-11-17,1:00,SPK,NA
2017-11-20,1:25,SPK,NA
2017-11-21,2:26,SPK,NA
2017-11-22,2:27,SPK,NA
2017-11-27,1:34,SPK,NA
2017-11-29,1:15,SPK,NA
2017-11-30,2:26,SPK,NA
2017-12-01,4:07,SPK,NA
2017-12-03,2:16,SPK,NA
2017-12-04,1:13,SPK,NA
2017-12-05,2:46,SPK,NA
2017-12-06,4:42,SPK,NA
2017-12-07,6:21,SPK,NA
2017-12-12,4:32,SPK,NA
2017-12-13,0:51,SPK,NA
2017-12-14,1:18,SPK,NA
2017-12-15,0:29,SPK,NA
2017-12-18,3:04,SPK,NA
2017-12-20,4:04,SPK,NA
2017-12-21,4:34,SPK,NA
2017-12-24,2:08,SPK,NA
2017-12-30,0:39,SPK,NA
2018-01-02,1:46,SPK,NA
2018-01-03,1:38,SPK,NA
2018-01-04,1:11,SPK,NA
2018-01-05,1:45,SPK,NA
2018-01-06,2:18,SPK,NA
2018-01-07,0:51,SPK,NA
2018-01-08,2:05,SPK,NA
2018-01-09,6:08,SPK,NA
2018-01-10,0:43,SPK,NA
2018-01-11,2:55,SPK,NA
2018-01-12,3:14,SPK,NA
2018-01-15,1:02,SPK,NA
2018-01-16,2:05,SPK,NA
2018-01-17,1:52,SPK,NA
2018-01-18,2:16,SPK,NA
2018-01-19,2:06,SPK,NA
2018-01-20,2:46,SPK,NA
2018-01-22,1:02,SPK,NA
2018-01-23,2:16,SPK,NA
2018-01-24,2:24,SPK,NA
2018-01-25,1:42,SPK,NA
2018-01-26,1:27,SPK,NA
2018-01-29,3:58,SPK,NA
2018-01-30,2:04,SPK,NA
2018-01-31,1:27,SPK,NA
2018-02-02,0:53,SPK,NA
2018-02-04,1:07,SPK,NA
2018-02-05,0:56,SPK,NA
2018-02-06,3:11,SPK,NA
2018-02-07,0:45,SPK,NA
2018-02-08,1:58,SPK,NA
2018-02-08,2:15,SPK,NA
2018-02-11,1:50,SPK,NA
2018-02-12,1:26,SPK,NA
2018-02-14,3:04,SPK,NA
2018-02-15,1:29,SPK,NA
2018-02-16,1:44,SPK,NA
2018-02-22,2:24,SPK,NA
2018-02-23,1:47,SPK,NA
2018-02-25,2:36,SPK,NA
2018-02-27,6:56,SPK,NA
2018-02-28,1:01,SPK,NA
2018-03-01,1:32,SPK,NA
2018-03-02,1:06,SPK,NA
2018-03-03,3:36,SPK,NA
2018-03-05,3:02,SPK,NA
2018-03-06,2:03,SPK,NA
2018-03-07,3:03,SPK,NA
2018-03-08,0:49,SPK,NA
2018-03-09,2:46,SPK,NA
2018-03-12,2:19,SPK,NA
2018-03-13,4:27,SPK,NA
2018-03-14,0:29,SPK,NA
2018-03-15,4:01,SPK,NA
2018-03-16,1:10,SPK,NA
2018-03-20,1:31,SPK,NA
2018-03-21,0:56,SPK,NA
2018-03-22,1:24,SPK,NA
2018-03-23,1:40,SPK,NA
2018-03-24,2:04,SPK,NA
2018-03-26,2:04,SPK,NA
2018-03-28,2:43,SPK,NA
2018-03-29,2:46,SPK,NA
2018-03-30,1:56,SPK,NA
2018-04-02,2:18,SPK,NA
2018-04-04,0:49,SPK,NA
2018-04-05,1:21,SPK,NA
2018-04-06,1:15,SPK,NA
2018-04-09,1:13,SPK,NA
2018-04-10,2:04,SPK,NA
2018-04-12,1:53,SPK,NA
2018-04-13,1:05,SPK,NA
2018-04-17,0:20,SPK,NA
2018-04-19,1:13,SPK,NA
2018-04-20,0:59,SPK,NA
2018-04-21,3:13,SPK,NA
2018-04-22,1:43,SPK,NA
2018-04-24,2:33,SPK,NA
2018-04-26,1:45,SPK,NA
2018-05-01,1:23,SPK,NA
2018-05-02,1:12,SPK,NA
2018-05-03,2:45,SPK,NA
2018-05-08,3:43,SPK,NA
2018-05-09,1:06,SPK,12:10
2018-05-09,1:42,JAK,16:03
2018-05-10,2:00,SPK,NA
2018-05-14,1:56,SPK,NA
2018-05-15,3:40,SPK,NA
2018-05-16,1:40,SPK,9:50
2018-05-16,1:36,JAK,9:50
2018-05-16,1:05,JIK,9:50
2018-05-17,0:59,SPK,NA
2018-05-20,1:41,SPK,NA
2018-05-20,1:14,JIK,NA
2018-05-21,0:54,SPK,8:41
2018-05-21,0:50,JAK,8:55
2018-05-22,2:37,SPK,NA
2018-05-23,1:18,SPK,NA
2018-05-24,1:05,SPK,9:04
2018-05-24,1:35,JAK,9:41
2018-05-25,0:18,SPK,9:04
2018-05-26,3:41,SPK,NA
2018-05-29,0:40,SPK,NA
2018-05-30,0:48,SPK,10:25
2018-05-30,0:46,JAK,10:22
2018-05-30,1:19,JIK,17:50
2018-05-31,0:46,JAK,17:57
2018-05-31,0:27,JIK,18:02
2018-06-01,2:20,SPK,NA
2018-06-02,2:44,SPK,NA
2018-06-06,0:41,SPK,11:26
2018-06-06,1:21,JAK,16:49
2018-06-06,0:47,JIK,16:49
2018-06-07,1:27,JAK,NA
2018-06-07,0:50,SPK,13:08
2018-06-07,1:15,JIK,18:39
2018-06-08,1:36,JAK,9:54
2018-06-08,1:37,17:03
2018-06-08,2:29,SPK,10:00
2018-06-11,2:44,SPK,NA
2018-06-13,3:32,SPK,NA
2018-06-13,0:51,JIK,17:12
2018-06-14,0:57,SPK,9:11
2018-06-14,3:45,JAK,10:13
2018-06-15,0:44,SPK,NA
2018-06-18,1:46,SPK,NA
2018-06-19,3:00,SPK,NA
2018-06-20,1:10,SPK,16:25
2018-06-20,3:59,JAK,16:23
2018-06-20,3:51,JIK,16:23
2018-06-21,1:19,SPK,NA
2018-06-22,3:26,SPK,NA
2018-06-25,2:56,SPK,NA
2018-06-26,0:56,SPK,14:27
2018-06-26,1:41,JAK,17:27
2018-06-26,0:46,JIK,18:29
2018-06-27,3:24,SPK,NA
2018-06-28,0:48,SPK,16:18
2018-06-28,1:08,JAK,17:35
2018-07-03,1:39,SPK,14:26
2018-07-03,0:55,JIK,18:41
2018-07-03,1:27,JAK,18:41
2018-07-04,1:07,SPK,NA
2018-07-05,1:13,SPK,NA
2018-07-05,2:07,JAK,19:02
2018-07-05,1:00,JIK,19:02
2018-07-06,0:36,SPK,10:51
2018-07-06,1:41,JAK,18:42
2018-07-09,1:58,JAK,NA
2018-07-09,1:59,JIK,NA
2018-07-10,1:44,SPK,NA
2018-07-10,1:57,JAK,NA
2018-07-10,0:55,JIK,NA
2018-07-11,0:31,SPK,NA
2018-07-13,0:46,SPK,NA
2018-07-17,1:10,SPK,9:13
2018-07-17,1:02,JAK,11:59
2018-07-17,0:55,JIK,17:41
2018-07-18,0:46,SPK,9:19
2018-07-18,1:06,JAK,10:52
2018-07-18,0:31,JIK,14:00
2018-07-19,2:01,SPK,NA
2018-07-23,1:38,SPK,10:46
2018-07-23,1:39,JAK,10:47
2018-07-23,0:57,JIK,18:45
2018-07-24,1:40,SPK,14:22
2018-07-25,1:05,SPK,17:30
2018-07-26,1:46,SPK,NA
2018-07-27,1:35,SPK,NA
2018-07-30,2:15,SPK,NA
2018-07-31,1:18,SPK,9:23
2018-07-31,1:48,JAK,7:43
2018-08-01,1:25,SPK,NA
2018-08-02,0:46,SPK,16:50
2018-08-02,1:10,JAK,17:44
2018-08-02,0:38,JIK,17:42
2018-08-03,3:03,SPK,NA
2018-08-06,0:55,SPK,11:45
2018-08-06,2:44,JAK,13:03
2018-08-07,0:41,SPK,14:20
2018-08-07,1:15,JAK,15:10
2018-08-07,0:39,JIK,18:05
2018-08-08,3:53,SPK,NA
2018-08-09,0:55,SPK,NA
2018-08-09,2:24,JAK,NA
2018-08-09,2:20,JIK,NA
2018-08-10,1:44,SPK,NA
2018-08-10,1:42,JAK,NA
2018-08-11,2:30,JAK,NA
2018-08-11,3:19,JIK,NA
2018-08-11,1:29,SKK,NA
2018-08-12,0:21,SKK,NA
2018-08-14,2:02,JAK,NA
2018-08-18,2:44,JAK,NA
2018-08-18,1:33,JIK,NA
2018-08-20,1:20,SPK,NA
2018-08-20,1:38,JAK,NA
2018-08-21,1:21,SPK,12:44
2018-08-22,2:32,SPK,NA
2018-08-22,0:58,JAK,NA
2018-08-22,1:07,JIK,NA
2018-08-23,1:29,SPK,NA
2018-08-23,0:49,JIK,NA
2018-08-23,2:40,JAK,NA
2018-08-24,0:53,SPK,NA
2018-08-24,1:35,JAK,NA
2018-08-24,0:40,JIK,NA
2018-08-27,4:24,JAK,NA
2018-08-27,3:09,SPK,NA
2018-08-28,2:25,SPK,NA
2018-08-28,3:20,JAK,NA
2018-08-28,0:49,JIK,NA
2018-08-29,1:50,SPK,NA
2018-08-29,2:17,JIK,NA
2018-08-29,2:39,JAK,10:12
2018-08-30,1:37,SPK,14:04
2018-08-30,1:51,JAK,10:10
2018-08-30,1:55,JIK,10:20
2018-08-31,3:02,SPK,14:19
2018-08-31,1:47,JAK,11:23
2018-09-01,3:14,SPK,12:36
2018-09-04,1:47,JAK,11:38
2018-09-04,0:56,JIK,12:00
2018-09-05,0:40,SPK,8:45
2018-09-05,0:31,JIK,9:30
2018-09-05,0:49,JAK,10:08
2018-09-06,1:54,SPK,9:45
2018-09-06,1:53,JAK,10:25
2018-09-06,1:57,JIK,10:41
2018-09-07,2:27,JAK,10:38
2018-09-10,0:51,SPK,9:06
2018-09-10,0:43,JIK,9:10
2018-09-10,2:11,JAK,10:10
2018-09-11,2:24,SPK,11:01
2018-09-11,1:38,JAK,10:48
2018-09-11,0:47,JIK,10:53
2018-09-12,1:34,SPK,9:36
2018-09-12,1:21,JIK,9:39
2018-09-13,1:58,SPK,8:42
2018-09-13,2:55,JAK,17:48
2018-09-13,0:57,JIK,17:49
2018-09-14,1:55,SPK,NA
2018-09-15,1:46,SPK,9:58
2018-09-15,1:53,JIK,10:04
2018-09-15,4:02,JAK,10:57
2018-09-16,1:32,SPK,9:53
2018-09-16,0:45,JIK,10:03
2018-09-16,0:32,JAK,10:10
2018-09-17,1:21,SPK,10:23
2018-09-17,3:32,JAK,10:57
2018-09-17,1:33,JIK,12:13
2018-09-18,2:41,SPK,13:32
2018-09-18,1:57,JAK,11:08
2018-09-18,0:53,JIK,13:22
2018-09-19,2:22,SPK,13:36
2018-09-19,3:42,JIK,13:41
2018-09-19,3:32,JAK,15:04
2018-09-20,3:02,SPK,NA
2018-09-24,1:18,SPK,10:17
2018-09-24,1:25,JAK,10:15
2018-09-24,1:34,JIK,12:07
2018-09-25,1:29,SPK,9:38
2018-09-25,2:59,JIK,10:12
2018-09-25,1:48,JAK,11:06
2018-09-26,0:59,SPK,10:31
2018-09-26,3:02,JAK,16:40
2018-09-27,3:00,SPK,14:29
2018-09-27,1:02,JIK,14:44
2018-09-28,2:04,SPK,14:23
2018-09-28,0:58,JAK,14:34
2018-09-28,1:11,JIK,14:36
2018-09-28,2:59,BBK,14:40
2018-09-28,0:49,SKK,NA
2018-10-01,2:35,JAK,12:48
2018-10-01,1:12,JIK,12:50
2018-10-02,1:22,JAK,12:59
2018-10-02,3:42,JIK,2:53
2018-10-02,2:24,SPK,15:15
2018-10-03,1:10,JAK,9:38
2018-10-03,1:15,JIK,9:47
2018-10-04,1:55,JAK,16:25
2018-10-04,1:34,SPK,16:46
2018-10-05,1:45,SPK,8:27
2018-10-05,1:07,JAK,11:13
2018-10-05,0:50,JIK,12:22
2018-10-06,1:57,SPK,13:04
2018-10-06,2:16,JAK,12:54
2018-10-06,1:47,JIK,12:56
2018-10-07,1:28,JAK,8:54
2018-10-07,3:27,JIK,11:48
2018-10-07,1:03,SPK,12:15
2018-10-08,1:54,SPK,10:26
2018-10-08,1:37,JAK,10:29
2018-10-08,1:48,JIK,11:04
2018-10-09,2:36,JAK,11:20
2018-10-09,0:39,JIK,11:22
2018-10-10,0:54,SPK,10:35
2018-10-10,0:57,JAK,13:52
2018-10-10,0:42,JIK,14:00
2018-10-11,1:21,JAK,10:18
2018-10-15,3:13,SPK,9:29
2018-10-16,3:14,JIK,10:42
2018-10-16,1:01,JAK,12:03
2018-10-16,2:41,SPK,13:00
2018-10-17,1:59,JAK,17:28
2018-10-18,1:25,SPK,15:37
2018-10-22,1:26,SPK,18:46
2018-10-22,1:22,JAK,9:58
2018-10-22,2:22,JIK,11:05
2018-10-23,1:16,JAK,18:27
2018-10-25,0:46,SPK,11:22
2018-10-25,0:47,JIK,11:41
2018-10-26,1:49,SPK,9:39
2018-10-26,1:04,JAK,9:49
2018-10-29,0:37,SPK,10:00
2018-10-29,1:06,JAK,10:05
2018-10-31,0:42,SPK,11:31
2018-10-31,0:36,JIK,11:49
2018-10-31,1:13,JAK,12:13
2018-11-01,0:31,SPK,13:48
2018-11-01,0:39,JAK,13:37
2018-11-01,0:42,JIK,13:42
2018-11-02,0:53,JAK,12:54
2018-11-02,1:16,JIK,13:54
2018-11-03,3:18,SPK,10:06
2018-11-03,3:15,JAK,10:43
2018-11-05,2:03,JAK,10:29
2018-11-05,3:06,JIK,11:57
2018-11-07,1:43,JAK,6:30
2018-11-08,1:51,SPK,15:11
2018-11-08,3:50,JAK,10:52
2018-11-08,0:32,JIK,10:55
2018-11-10,1:23,SPK,7:16
2018-11-10,6:28,JAK,7:17
2018-11-21,0:51,SPK,14:52
2018-11-21,1:52,JIK,15:03
2018-11-22,1:01,JAK,7:35
2018-11-22,1:28,JIK,9:13
2018-11-23,1:24,JAK,10:34
2018-11-23,1:25,SPK,11:22
2018-11-23,1:19,JIK,13:09
2018-11-26,0:52,SPK,13:55
2018-11-26,1:25,JAK,15:01
2018-11-26,1:21,JIK,15:08
2018-11-27,0:36,SPK,11:53
2018-11-27,0:42,JIK,11:57
2018-11-27,2:17,JAK,16:16
2018-11-28,0:36,SPK,14:29
2018-11-29,1:14,JAK,10:58
2018-11-30,1:40,SPK,9:47
2018-11-30,4:44,JAK,17:05
2018-12-01,3:42,JAK,9:24
2018-12-02,0:51,JAK,17:28
2018-12-02,0:46,JIK,15:10
2018-12-03,1:00,JAK,10:03
2018-12-03,0:41,SPK,10:17
2018-12-03,0:59,JIK,10:39
